lat,lon,name
-26.971197,152.566855,YKCY
-34.94329833984375,117.80899810791016,Albany Airport
-27.6406,152.712006,RAAF Base Amberley
-23.646099,146.584,Alpha Airport
-37.30939865112305,142.98899841308594,Ararat Airport
-30.528099060099997,151.617004395,Armidale Airport
-25.1861,130.975998,Ayers Rock Connellan Airport
-23.5652999878,145.307006836,Barcaldine Airport
-23.806699752807617,133.90199279785156,Alice Springs Airport
-27.384199142456055,153.11700439453125,Brisbane International Airport
-28.1644001007,153.505004883,Gold Coast Airport
-24.427799224900003,145.429000854,Blackall Airport
-16.885799408,145.755004883,Cairns International Airport
-26.4132995605,146.261993408,Charleville Airport
-25.897499084472656,139.34800720214844,Birdsville Airport
-32.0013999939,141.472000122,Broken Hill Airport
-20.3581008911,148.95199585,Hamilton Island Airport
-24.346099853515625,139.4600067138672,Bedourie Airport
-30.039199829101562,145.95199584960938,Bourke Airport
-36.55189895629883,146.0070037841797,Benalla Airport
-20.663900375399997,139.488998413,Mount Isa Airport
-26.6033,153.091003,Sunshine Coast Airport
-21.171699523900003,149.179992676,Mackay Airport
-28.8339004517,153.56199646,Ballina Byron Gateway Airport
-37.88750076293945,147.5679931640625,Bairnsdale Airport
-27.411399841308594,151.73500061035156,Oakey Airport
-22.913299560546875,139.89999389648438,Boulia Airport
-20.4950008392,148.552001953,Proserpine Whitsunday Coast Airport
-23.3819007874,150.475006104,Rockhampton Airport
-17.944700241088867,122.23200225830078,Broome International Airport
-34.623600006103516,143.5780029296875,Balranald Airport
-29.973899841308594,146.81700134277344,Brewarrina Airport
-33.4094009399,149.651992798,Bathurst Airport
-11.769200325012207,130.6199951171875,Bathurst Island Airport
-19.252500534057617,146.76499938964844,Townsville Airport
-23.603099822998047,148.8070068359375,Blackwater Airport
-24.903900146499996,152.319000244,Bundaberg Airport
-12.6786003113,141.925003052,Weipa Airport
-27.558332,151.793335,Toowoomba Wellcamp Airport
-24.880211,113.67174,Carnarvon Airport
-31.538299560546875,145.79400634765625,Cobar Airport
-31.332500457763672,149.26699829101562,Coonabarabran Airport
-29.040000915527344,134.7209930419922,Coober Pedy Airport
-26.774999618530273,150.61700439453125,Chinchilla Airport
-20.668600082399998,140.503997803,Cloncurry Airport
