name,lat,lon
Aberdeen,-32.16689305,150.8919662
Adamstown,-32.933587117500004,151.7203497
Albion Park,-34.563159604999996,150.79889295
Allawah,-33.969752166,151.11457633999999
Arlington LR,-33.9020475,151.13810135
Arncliffe,-33.9368449675,151.1471404
Artarmon,-33.80851127666667,151.18463016666666
Ashfield,-33.8876263425,151.125774425
Asquith,-33.688590239999996,151.10813235
Auburn,-33.849471449999996,151.03297716666665
Austinmer,-34.30651093,150.9291291
Awaba,-33.012980866666666,151.54212213333332
Banksia,-33.94485837,151.14059863333333
Bankstown,-33.91784225,151.0340474
Bardwell Park,-33.93137824,151.125379
Bargo,-34.2910038075,150.58008847500003
Beecroft,-33.74916493333333,151.06643210000001
Bell,-33.506199975,150.2792203
Bellambi,-34.36261281,150.9101311
Belmore,-33.9172381,151.0883308
Berala,-33.87168557,151.032578
Beresfield,-32.799487443333334,151.65835803333331
Berowra,-33.62295827,151.15335295
Berry,-34.78027342,150.69672350000002
Beverly Hills,-33.94917783,151.08072503333332
Bexley North,-33.9374812,151.1139261
Birrong,-33.89253644,151.0243134
Blackheath,-33.63398897,150.2844219
Blacktown,-33.768303707777775,150.9074106666667
Blaxland,-33.74386642,150.60963442
Bomaderry,-34.85374494,150.60977019999999
Bombo,-34.658771225,150.85376250000002
Bondi Junction,-33.89129804,151.24839046666668
Booragul,-32.971799585,151.6049794
Bowral,-34.47814149666667,150.41661951666666
Branxton,-32.662151345,151.34573410000002
Broadmeadow,-32.922529335,151.73516155000002
Bullaburra,-33.723343735,150.4150952
Bulli,-34.3340727725,150.91490105
Bundanoon,-34.65590114,150.29965675
Burradoo,-34.494185869999995,150.3979939
Burwood,-33.877117025000004,151.10383865
Cabramatta,-33.89481849,150.93887157999998
Camellia,-33.81918103,151.024141
Campbelltown,-34.06352980142857,150.81450435714285
Campsie,-33.91044441,151.10356585
Canley Vale,-33.8873717325,150.943554925
Canterbury,-33.912116299999994,151.11901369999998
Capitol Square LR,-33.879756279999995,151.20553519999999
Cardiff,-32.94138198666666,151.66245876666667
Caringbah,-34.04160197,151.1218851
Carlingford,-33.78258523,151.04678227999997
Carlton,-33.968194819999994,151.12433761999998
Carramar,-33.884542415,150.96064715
Casula,-33.95025742599999,150.91186768000003
Central,-33.88350565066666,151.20672857333335
Chatswood,-33.79721774,151.1810231142857
Cheltenham,-33.75541827,151.07812945
Chester Hil,-33.88368818,151.00046269999999
Circular Quay,-33.861355726999996,151.21065537
Clarendon,-33.608508400000005,150.7878335
Clyde,-33.83580435499999,151.0168013
Coalcliff,-34.24253571,150.97705200000001
Cockle Creek,-32.942671295,151.62412159999997
Coledale,-34.28989285,150.94303100000002
Como,-34.00446285,151.0680892
Concord West,-33.848076416,151.0854914
Coniston,-34.438102355,150.88498275
Convention Centre LR,-33.87286403,151.1981517
Corrimal,-34.375583840000004,150.9050197
Cowan,-33.59338482,151.17160155
Cringila,-34.467227115,150.87911530000002
Cronulla,-34.05597516666666,151.1515852
Croydon,-33.88301118,151.11529910000002
Dapto,-34.493088625,150.79170575
Denistone,-33.79951928,151.08675390000002
Domestic,-33.933838863999995,151.1802893
Doonside,-33.76382168,150.86925815
Dora Creek,-33.08398633666666,151.5008681
Douglas Park,-34.18326863,150.71054270000002
Dulwich Grove LR,-33.904766550000005,151.1389887
Dulwich Hill,-33.91105837,151.14114630000003
Dulwich Hill LR,-33.910649199999995,151.14057025
Dundas,-33.8038007575,151.03284762500002
Dungog,-32.402525315,151.759318
East Hills,-33.9617394625,150.984443725
East Maitland,-32.74457268,151.58747409999998
East Richmond,-33.601774445000004,150.75877925
Eastwood,-33.790161644,151.08236838
Edgecliff,-33.87893677,151.236154
Edmondson Park,-33.96933361,150.85885455
Emu Plains,-33.7456965825,150.67135235
Engadine,-34.067471512500006,151.01470279999998
Epping,-33.772735518000005,151.08183282
Ersineville,-33.90005302,151.1855565
Exeter,-34.613422,150.31757950000002
Exhibition Centre LR,-33.876782950000006,151.19936274999998
Fairfield,-33.87247930666667,150.95689178333336
Fairy Meadow,-34.395078435,150.89651465
Fassifern,-32.98564411666666,151.58107503333335
Faulconbridge,-33.696567782,150.53473564
Fish Market LR,-33.870616325,151.19191560000002
Flemington,-33.864523795,151.07045779999999
Gerringong,-34.74477882,150.8176504
Glebe LR,-33.87718591,151.18740885
Glenbrook,-33.76902646,150.6212638
Glenfield,-33.972081932,150.89328017999998
Gordon,-33.755820474,151.15430204
Gosford,-33.4234187525,151.34166770000002
Goulburn,-34.7585734,149.71991880000002
