tllat,tllon,trlat,trlon,brlat,brlon,bllat,bllon,value
-33.87453318958073,151.19479219256195,-33.87453651492958,151.19501914734377,-33.874347208010775,151.19502313374312,-33.87434388268554,151.19479617946186,1.0578102136033e-311
-33.87434388268554,151.19479617946186,-33.874347208010775,151.19502313374312,-33.874157901085766,151.19502712010524,-33.87415457578412,151.1948001663246,2.1219957905e-314
-33.87415457578412,151.1948001663246,-33.874157901085766,151.19502712010524,-33.87396859415448,151.19503110643015,-33.87396526887645,151.19480415315007,1.0578115798727e-311
-33.87396526887645,151.19480415315007,-33.87396859415448,151.19503110643015,-33.87377928721698,151.19503509271783,-33.87377596196256,151.19480813993832,0.0
-33.87377596196256,151.19480813993832,-33.87377928721698,151.19503509271783,-33.873589980273245,151.1950390789683,-33.87358665504241,151.19481212668933,0.0
-33.87358665504241,151.19481212668933,-33.873589980273245,151.1950390789683,-33.87340067332325,151.19504306518152,-33.87339734811604,151.19481611340314,0.0
-33.87339734811604,151.19481611340314,-33.87340067332325,151.19504306518152,-33.87321136636704,151.19504705135756,-33.87320804118342,151.1948201000797,0.0
-33.87320804118342,151.1948201000797,-33.87321136636704,151.19504705135756,-33.873022059404576,151.19505103749637,-33.87301873424456,151.19482408671905,0.0
-33.87301873424456,151.19482408671905,-33.873022059404576,151.19505103749637,-33.872832752435855,151.19505502359794,-33.872829427299465,151.19482807332116,0.0
-33.872829427299465,151.19482807332116,-33.872832752435855,151.19505502359794,-33.87264344546094,151.19505900966232,-33.87264012034812,151.1948320598861,0.0
-33.87264012034812,151.1948320598861,-33.87264344546094,151.19505900966232,-33.872454138479746,151.19506299568943,-33.87245081339056,151.19483604641377,0.0
-33.87245081339056,151.19483604641377,-33.872454138479746,151.19506299568943,-33.87226483149234,151.19506698167936,-33.87226150642674,151.1948400329042,0.0
-33.87226150642674,151.1948400329042,-33.87226483149234,151.19506698167936,-33.87207552449868,151.19507096763206,-33.87207219945669,151.19484401935745,0.5555555555555554
-33.87207219945669,151.19484401935745,-33.87207552449868,151.19507096763206,-33.87188621749878,151.19507495354756,-33.8718828924804,151.19484800577345,0.8888888888888893
